Index,emote_display,link,Emote,IMAGE,Cohort,emotion_recognition,anger_calmness,despair_hope,disgust_like,hate_love,sadness_joy,anticipation_surprise,sacrasm_lvl,Confidence_answer
10,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555568/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555568/1.0,:-Z,,Face Emote,10,9,0,0,0,-5,-9,0,10
14,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555566/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555566/1.0,:-z,,Face Emote,10,9,0,0,0,-5,-9,0,10
15,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555564/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555564/1.0,:-|,,Face Emote,10,9,0,0,0,-5,-9,0,10
188,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555571/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555571/1.0,O_O,,Face Emote,10,8,0,0,0,0,8,0,10
189,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/6/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/6/1.0,O_o,,Face Emote,10,8,0,0,0,0,8,0,10
308,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555573/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555573/1.0,o_O,,Face Emote,10,8,0,0,0,0,8,0,10
309,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555575/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555575/1.0,o_o,,Face Emote,10,8,0,0,0,0,8,0,10
185,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555572/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555572/1.0,O.O,,Face Emote,10,8,0,0,0,0,8,0,10
186,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555570/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555570/1.0,O.o,,Face Emote,10,8,0,0,0,0,8,0,10
306,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555574/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555574/1.0,o.O,,Face Emote,10,8,0,0,0,0,8,0,10
307,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555576/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555576/1.0,o.o,,Face Emote,10,8,0,0,0,0,4,0,10
6,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555586/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555586/1.0,:-/,,Face Emote,10,7,0,-1,0,-1,4,0,10
11,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555588/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555588/1.0,:-\,,Face Emote,10,7,0,-1,0,-1,4,0,10
16,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/10/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/10/1.0,:/,,Face Emote,10,7,0,-1,0,-1,4,0,10
21,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555587/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555587/1.0,:\,,Face Emote,10,7,0,-1,0,-1,4,0,10
18,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/8/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/8/1.0,:O,,Face Emote,10,2,0,0,0,-1,9,0,10
22,"<img src=""https://static-cdn.jtvnw.net/emoticons/v1/555555582/1.0"" style=""height:30px;"">",https://static-cdn.jtvnw.net/emoticons/v1/555555582/1.0,:o,,Face Emote,10,2,0,0,0,-1,9,0,10
