"channel_id","emote"
296682,"cousSimple"
309519,"notthatLoot"
309519,"notthatBad"
309519,"notthatTHINK"
309519,"notthatDad"
309519,"notthatSmiles"
309519,"notthatSpicy"
309519,"notthatHeadshot"
309519,"notthatCult"
309519,"notthatPraise"
309519,"notthatFakefight"
309519,"notthatWill"
309519,"notthatChicken"
309519,"notthatDeadWill"
309519,"notthatGrimace"
309519,"notthatChurf"
309519,"notthatWheel"
309519,"notthatRIP"
309519,"notthatVisitor"
309519,"notthatPecado"
320878,"protonSad"
320878,"protonRaid"
320878,"protonNo"
320878,"protonYes"
320878,"protonGarbage"
320878,"protonVOD"
320878,"protonUgh"
320878,"protonStop"
320878,"protonLOL"
320878,"protonSup"
320878,"protonPower"
320878,"protonSilverEgg"
320878,"protonGoldEgg"
320878,"protonGo"
320878,"protonFinish"
320878,"protonEggHD"
320878,"protonAlert"
320878,"protonThump"
320878,"protonArt"
320878,"protonRyu"
320878,"protonLewd"
320878,"protonFroggers"
320878,"protonChill"
320878,"protonLore"
320878,"protonWesk"
320878,"protonBaka"
320878,"protonGame"
320878,"protonHEY"
320878,"protonKiss"
320878,"protonWink"
320878,"protonHug"
320878,"protonRazz"
320878,"protonSleep"
320878,"protonBagel"
320878,"protonEgg"
320878,"protonFootball"
320878,"protonCop"
320878,"protonCookie"
320878,"protonDISAPPOINTED"
320878,"protonGlitch"
320878,"protonRage"
320878,"protonImpeach"
320878,"protonDeath"
320878,"protonWhat"
320878,"protonBomb"
320878,"protonSub"
320878,"protonLuck"
320878,"protonChugga"
320878,"protonGood"
320878,"protonAngry"
320878,"protonParty"
320878,"protonShrug"
320878,"protonYawn"
320878,"protonThumbsUp"
320878,"protonBoom"
320878,"proton1"
320878,"protonSip"
358971,"tonehWat"
358971,"tonehHappy"
358971,"tonehSad"
358971,"tonehNerd"
358971,"tonehNo"
358971,"tonehCheesy"
418737,"gooddayiBrnrdy"
418737,"gooddayiDTNS"
418737,"gooddayiMantis"
418737,"gooddayiGDI"
418737,"gooddayiRoger"
418737,"gooddayiSarah"
418737,"gooddayiTom"
418737,"gooddayiScott"
418737,"gooddayiBeja"
418737,"gooddayiJustin"
418737,"gooddayiLen"
418737,"gooddayiOtis"
418737,"gooddayiRey"
418737,"gooddayiTaco"
418737,"gooddayiGdislide"
418737,"gooddayiYear8"
418737,"gooddayiRogershake"
418737,"gooddayiGDInew"
418737,"gooddayiManytacos"
418737,"gooddayiNewGDISlide"
477897,"ilyterrorSleepy"
477897,"ilyterrorSmh"
477897,"ilyterrorHuh"
477897,"ilyterrorPacked"
477897,"ilyterrorPeak"
477897,"ilyterrorWalker"
477897,"ilyterrorSword"
477897,"ilyterrorRage"
477897,"ilyterrorSlumpy"
477897,"ilyterrorYO"
477897,"ilyterrorController"
477897,"ilyterrorSki"
477897,"ilyterrorWtff"
477897,"ilyterrorBob"
477897,"ilyterrorPlottin"
477897,"ilyterrorYB"
477897,"ilyterrorR"
477897,"ilyterrorRat"
477897,"ilyterrorFelwinter"
477897,"ilyterrorStress"
477897,"ilyterrorDummy"
477897,"ilyterrorDuff"
477897,"ilyterrorDugg"
477897,"ilyterrorDash"
477897,"ilyterrorBenj"
477897,"ilyterrorWave"
477897,"ilyterrorHii"
477897,"ilyterrorBaby"
477897,"ilyterrorMoney"
477897,"ilyterrorTerry"
477897,"ilyterrorVibe"
477897,"ilyterrorVibes"
477897,"ilyterrorUpem"
477897,"ilyterrorAce"
477897,"ilyterrorDurk"
477897,"ilyterrorLunch"
477897,"ilyterrorFosh"
477897,"ilyterrorIcy"
477897,"ilyterrorShorty"
482893,"laphinGar"
482893,"laphinLUL"
482893,"laphinPat"
482893,"laphinPog"
482893,"laphinPinkpaw"
482893,"laphinGoldpaw"
482893,"laphinLewd"
482893,"laphinSpoop"
482893,"laphinYay"
482893,"laphinOwO"
482893,"laphinNom"
482893,"laphinSad"
482893,"laphinButt"
482893,"laphinButtSpin"
482893,"laphinHungee"
482893,"laphinWoop"
482893,"laphinFart"
482893,"laphinJammin"
482893,"laphinHYPERS"
482893,"laphinChucky"
482893,"laphinDerp"
482893,"laphinTasty"
482893,"laphinLove"
482893,"laphinSniff"
482893,"laphinUnicorn"
482893,"laphinSCREAM"
482893,"laphinBookOfTheDead"
482893,"laphinChainsaw"
482893,"laphinLurk"
482893,"laphinTeehee"
482893,"laphinFeelsBadMan"
482893,"laphinAshStank"
488567,"gtamenRIP"
488567,"gtamenEE"
488567,"gtamenPrime"
488567,"gtamenGG"
488567,"gtamenDesk"
488567,"gtamenF"
488567,"gtamenShovel"
488567,"gtamenNLT"
488567,"gtamenPog"
488567,"gtamenFP"
488567,"gtamenBlank"
488567,"gtamenDerp"
488567,"gtamenStab"
488567,"gtamenDoubt"
488567,"gtamenLove"
488567,"gtamenDerppa"
488567,"gtamenRage"
488567,"gtamenWut"
488567,"gtamenHype"
488567,"gtamenLUL"
488567,"gtamenJAM"
488567,"gtamenPeek"
488567,"gtamenEz"
488567,"gtamenS"
488567,"gtamenGoldE"
488567,"gtamenDance"
488567,"gtamenBlind"
488567,"gtamenCheat"
488567,"gtamenWaifu"
488567,"gtamenEvil"
488567,"gtamenBored"
488567,"gtamenNap"
488567,"gtamenHmm"
488567,"gtamenShock"
488567,"gtamenShrug"
488567,"gtamenCry"
488567,"gtamenNom"
488567,"gtamenBun"
488567,"gtamenArrive"
488567,"gtamenSmile"
488567,"gtamenLeave"
488567,"gtamenAim"
494211,"spanky54Eye"
494211,"spanky54Heart"
494211,"spanky54GNSpanky"
494211,"spanky54SpankHeart"
494211,"spanky54SpankyHeart"
494211,"spanky54Spankywink"
494211,"spanky54Toxicspank"
494211,"spanky54SpankyNya"
494211,"spanky54Notoxic"
494211,"spanky54Spankraid"
494211,"spanky54Dredge"
494211,"spanky54Chomp"
494211,"spanky54Gotthis"
494211,"spanky54Sipleg"
494211,"spanky54Dig"
494211,"spanky54Napper"
494211,"spanky54Nea"
504182,"tsunam1W"
504182,"tsunam1Smug"
504182,"tsunam1Nani"
504182,"tsunam1Steam"
504182,"tsunam1Anime"
504182,"tsunam1Maiden"
504182,"tsunam14"
504182,"tsunam13"
504182,"tsunam1Mars"
504182,"tsunam1Hand"
504182,"tsunam1Whoa"
504182,"tsunam11"
504182,"tsunam1Dc1"
504182,"tsunam1Dc2"
504182,"tsunam12"
504182,"tsunam1Dc3"
504182,"tsunam1Dawn"
504182,"tsunam1Huhvs"
504350,"dmxWinemomsonic"
504350,"dmxFloorie"
504350,"dmxTamsladder"
504350,"dmxItsamelucy"
504350,"dmxBoniellowins"
504350,"dmxGizmoshowfeet"
504350,"dmxLoserdome"
504350,"dmxWolfpackgrubb"
504350,"dmxSaucyelmo"
504350,"dmxTamruto"
504350,"dmxChaosjenga"
504350,"dmxGrubbscissor"
504350,"dmxDogsonthestreet"
504350,"dmxVinnyglove"
504350,"dmxGizmoisforthestreets"
504350,"dmxNowrestlingallowed"
504350,"dmx3amboyzcake"
504350,"dmxShowerbeer"
528871,"fuzerP"
528871,"fuzerD"
528871,"fuzerS"
528871,"fuzerG"
528871,"fuzerW"
528871,"fuzerZerg"
528871,"fuzerTobi"
528871,"fuzerR"
528871,"fuzerL"
528871,"fuzerBeke"
528871,"fuzer2"
528871,"fuzerJ"
528871,"fuzerM"
528871,"fuzerTobi2"
528871,"fuzer1"
528871,"fuzerTobi1"
528871,"fuzerSyyllinen"
528871,"fuzerJam"
528871,"fuzerRollin"
528871,"fuzerHype"
528871,"fuzer4"
528871,"fuzerChest"
528871,"fuzerT"
528871,"fuzerV"
528871,"fuzerNT"
528871,"fuzerF"
